recall per class ['0/0', '0/0', '2/6', '6/18', '0/0', '0/0', '73/104']
recall per class ['0/0', '0/2', '1/3', '3/15', '0/1', '0/0', '79/107']
recall per class ['0/0', '0/4', '5/11', '8/16', '0/1', '0/0', '75/96']
recall per class ['0/0', '0/3', '0/2', '6/16', '0/2', '0/0', '74/105']
recall per class ['0/0', '0/5', '2/9', '4/12', '0/3', '0/0', '77/99']
recall per class ['0/0', '0/0', '1/4', '12/27', '0/0', '0/0', '71/97']
recall per class ['0/0', '0/1', '4/6', '6/19', '0/2', '0/0', '70/100']
recall per class ['0/0', '0/2', '2/2', '9/18', '0/2', '0/0', '72/104']
recall per class ['0/0', '0/2', '0/6', '8/14', '0/0', '0/0', '79/106']
recall per class ['0/0', '0/3', '0/6', '2/10', '0/0', '0/0', '84/109']
recall per class ['0/0', '0/2', '2/7', '10/17', '0/0', '0/0', '69/102']
recall per class ['0/0', '0/1', '3/5', '11/25', '0/1', '0/0', '68/96']
recall per class ['0/0', '0/2', '4/6', '6/17', '0/0', '0/0', '72/103']
recall per class ['0/0', '0/1', '4/5', '7/18', '0/0', '0/0', '74/104']
recall per class ['0/0', '0/3', '2/6', '9/17', '0/2', '0/0', '73/100']
recall per class ['0/0', '0/3', '1/4', '8/15', '0/1', '0/0', '70/105']
recall per class ['0/0', '0/6', '2/7', '6/18', '0/1', '0/0', '81/96']
recall per class ['0/0', '0/1', '0/5', '12/20', '0/0', '0/0', '70/102']
recall per class ['0/0', '0/2', '0/5', '6/14', '0/1', '0/0', '81/106']
recall per class ['0/0', '0/5', '2/3', '4/16', '0/0', '0/0', '76/104']
recall per class ['0/0', '0/6', '1/6', '10/16', '0/2', '0/0', '78/98']
recall per class ['0/0', '0/2', '2/9', '6/15', '0/1', '0/0', '68/101']
recall per class ['0/0', '0/1', '3/8', '8/15', '0/0', '0/0', '82/104']
recall per class ['0/0', '0/1', '2/8', '11/20', '0/1', '0/0', '64/98']
recall per class ['0/0', '0/4', '1/9', '9/16', '0/0', '0/0', '77/99']
recall per class ['0/0', '0/0', '3/11', '7/16', '0/0', '0/0', '83/101']
recall per class ['0/0', '0/2', '0/5', '7/19', '0/1', '0/0', '79/101']
recall per class ['0/0', '0/1', '0/5', '7/15', '0/0', '0/0', '77/107']
recall per class ['0/0', '0/5', '1/6', '9/19', '0/1', '0/0', '77/97']
recall per class ['0/0', '0/6', '3/6', '11/23', '0/0', '0/0', '68/93']
recall per class ['0/0', '0/3', '1/7', '7/19', '0/0', '0/0', '75/99']
recall per class ['0/0', '0/3', '0/3', '7/19', '0/1', '0/0', '75/102']
recall per class ['0/0', '0/1', '3/9', '5/19', '0/3', '0/0', '66/96']
recall per class ['0/0', '0/2', '1/5', '5/11', '0/2', '0/0', '84/108']
recall per class ['0/0', '0/4', '3/7', '11/22', '0/2', '0/0', '67/93']
recall per class ['0/0', '0/4', '4/11', '6/19', '0/1', '0/0', '70/93']
recall per class ['0/0', '0/1', '3/10', '7/23', '0/1', '0/0', '71/93']
recall per class ['0/0', '0/2', '1/4', '5/18', '0/0', '0/0', '79/104']
recall per class ['0/0', '0/4', '3/12', '5/15', '0/0', '0/0', '72/97']
recall per class ['0/0', '0/4', '4/10', '5/15', '0/2', '0/0', '69/97']
recall per class ['0/0', '0/0', '0/2', '9/21', '0/1', '0/0', '71/104']
recall per class ['0/0', '0/2', '1/7', '11/28', '0/2', '0/0', '64/89']
recall per class ['0/0', '0/1', '2/4', '5/17', '0/2', '0/0', '82/104']
recall per class ['0/0', '0/1', '4/10', '6/20', '0/0', '0/0', '77/97']
recall per class ['0/0', '0/2', '2/7', '3/11', '0/0', '0/0', '76/108']
recall per class ['0/0', '0/0', '3/9', '8/16', '0/3', '0/0', '79/100']
recall per class ['0/0', '0/5', '4/7', '10/18', '0/1', '0/0', '75/97']
recall per class ['0/0', '0/1', '2/8', '7/16', '0/1', '0/0', '74/102']
recall per class ['0/0', '0/0', '0/4', '9/19', '0/2', '0/0', '81/103']
recall per class ['0/0', '0/2', '1/4', '6/18', '0/1', '0/0', '76/103']
recall per class ['0/0', '0/0', '5/8', '11/17', '0/1', '0/0', '72/102']
recall per class ['0/0', '0/2', '1/5', '4/14', '0/2', '0/0', '87/105']
recall per class ['0/0', '0/3', '2/5', '5/12', '0/0', '0/0', '87/108']
recall per class ['0/0', '0/2', '1/6', '5/17', '0/2', '0/0', '67/101']
recall per class ['0/0', '0/3', '2/8', '4/16', '0/1', '0/0', '81/100']
recall per class ['0/0', '0/2', '2/7', '8/18', '0/0', '0/0', '75/101']
recall per class ['0/0', '0/4', '1/4', '5/14', '0/4', '0/0', '79/102']
recall per class ['0/0', '0/1', '1/4', '6/11', '0/0', '0/0', '91/112']
recall per class ['0/0', '0/1', '3/6', '5/14', '0/2', '0/0', '72/105']
recall per class ['0/0', '0/6', '2/7', '6/24', '0/0', '0/0', '72/91']
recall per class ['0/0', '0/1', '4/11', '4/17', '0/0', '0/0', '79/99']
recall per class ['0/0', '0/8', '1/2', '9/20', '0/0', '0/0', '71/98']
