['0/0', '3/5', '7/7', '13/20', '0/0', '0/0', '76/96']
['0/0', '0/1', '8/8', '11/17', '2/3', '0/0', '81/99']
['0/0', '1/2', '7/8', '11/18', '0/0', '0/0', '83/100']
['0/0', '3/5', '5/8', '11/16', '0/0', '0/0', '86/99']
['0/0', '0/1', '5/5', '12/17', '1/1', '0/0', '85/104']
['0/0', '1/1', '6/6', '10/16', '0/0', '0/0', '83/105']
['0/0', '2/2', '6/7', '7/13', '0/1', '0/0', '74/105']
['0/0', '1/2', '4/4', '9/14', '0/0', '0/0', '91/108']
['0/0', '1/4', '7/9', '11/14', '0/0', '0/0', '96/101']
['0/0', '1/1', '10/10', '9/16', '0/1', '0/0', '85/100']
['0/0', '2/4', '5/5', '8/14', '0/0', '0/0', '87/105']
['0/0', '1/1', '6/8', '7/13', '3/4', '0/0', '93/102']
['0/0', '1/4', '2/3', '8/14', '0/0', '0/0', '92/107']
['0/0', '4/7', '9/10', '10/16', '0/2', '0/0', '73/93']
['0/0', '0/2', '8/9', '13/18', '0/0', '0/0', '70/99']
['0/0', '1/3', '4/5', '12/20', '0/0', '0/0', '81/100']
['0/0', '3/3', '5/5', '14/21', '0/0', '0/0', '84/99']
['0/0', '2/3', '8/10', '10/16', '0/1', '0/0', '81/98']
['0/0', '2/5', '4/4', '9/11', '2/2', '0/0', '85/106']
['0/0', '0/0', '12/13', '14/20', '0/1', '0/0', '78/94']
['0/0', '2/4', '9/9', '17/23', '0/0', '0/0', '81/92']
['0/0', '2/2', '5/5', '8/14', '0/0', '0/0', '84/107']
['0/0', '1/4', '7/7', '19/23', '0/0', '0/0', '80/94']
['0/0', '2/2', '9/9', '14/22', '1/2', '0/0', '71/93']
['0/0', '1/1', '5/5', '16/23', '0/2', '0/0', '77/97']
['0/0', '3/3', '4/4', '13/20', '0/0', '0/0', '88/101']
['0/0', '1/2', '6/6', '11/15', '0/0', '0/0', '90/105']
['0/0', '2/4', '5/5', '11/19', '0/2', '0/0', '83/98']
['0/0', '1/1', '9/9', '13/16', '0/1', '0/0', '76/101']
