['0/0', '1/1', '6/12', '7/18', '0/0', '0/0', '90/97']
['0/0', '0/2', '5/8', '5/24', '0/0', '0/0', '90/94']
['0/0', '0/2', '11/16', '6/22', '0/0', '0/0', '85/88']
['0/0', '0/0', '8/12', '10/22', '1/1', '0/0', '86/93']
['0/0', '0/0', '6/16', '9/29', '0/0', '0/0', '73/83']
['0/0', '1/1', '5/13', '11/23', '0/0', '0/0', '79/91']
['0/0', '5/8', '2/11', '8/17', '0/0', '0/0', '77/92']
['0/0', '1/1', '3/14', '6/24', '0/0', '0/0', '78/89']
['0/0', '1/1', '8/12', '8/25', '0/0', '0/0', '80/90']
['0/0', '3/4', '12/20', '4/17', '0/0', '0/0', '79/87']
